X,Y,Concentrations,Migration_front,Vx,Vy,Q
35.0,315.0,7.314029501998254e-48,0,-0.018646629021047464,0.014038593492176309,0.0
35.0,325.0,2.836509001189421e-47,0,-0.017674996401734235,0.014226350153897765,0.0
35.0,335.0,1.1955490700681107e-46,0,-0.016746364240027886,0.014349508729597841,0.0
35.0,345.0,5.4449259986051535e-46,0,-0.01586306949202313,0.01441694211701798,0.0
35.0,355.0,2.6650171833196296e-45,0,-0.015026082711706242,0.014436698999469037,0.0
35.0,365.0,1.9918412737040106e-47,0,-0.014235337886599014,0.014415981073940263,0.0
35.0,375.0,2.065909179796744e-52,0,-0.013490005398325592,0.01436116261398508,0.0
35.0,385.0,2.048576071943991e-57,0,-0.012788712229684506,0.014277836537368577,0.0
45.0,5.0,0.0,0,0.0,-0.014535956684367583,0.0
45.0,15.0,0.0,0,-0.017058822079870507,-0.014422800438565028,0.0
45.0,25.0,0.0,0,-0.017975144749241757,-0.014251922971945193,0.0
45.0,35.0,0.0,0,-0.018934541975370787,-0.014014954232958668,0.0
45.0,45.0,0.0,0,-0.01993499854215123,-0.013702742668790423,0.0
45.0,55.0,0.0,0,-0.020973080986234283,-0.013305422044153054,0.0
45.0,65.0,0.0,0,-0.02204353961237019,-0.012812562425844873,0.0
45.0,75.0,0.0,0,-0.023138837717889226,-0.012213443440737217,0.0
45.0,85.0,0.0,0,-0.024248620953300562,-0.01149749540738322,0.0
45.0,95.0,0.0,0,-0.025359163675369133,-0.010654955877742449,0.0
45.0,105.0,0.0,0,-0.026452865287444335,-0.009677779012147406,0.0
45.0,115.0,0.0,0,-0.027507916737178322,-0.008560804766048804,0.0
45.0,125.0,0.0,0,-0.028498307424589996,-0.007303136641775293,0.0
45.0,135.0,0.0,0,-0.02939437690795385,-0.005909589686833583,0.0
45.0,145.0,0.0,0,-0.03016410379446832,-0.004391967662361894,0.0
45.0,155.0,0.0,0,-0.030775232317196678,-0.002769843370852073,0.0
45.0,165.0,0.0,0,-0.031198147970123526,-0.0010704995146207806,0.0
45.0,175.0,0.0,0,-0.031409153646012496,0.0006722134984527397,0.0
45.0,185.0,0.0,0,-0.03139355308745889,0.002420121543588534,0.0
45.0,195.0,0.0,0,-0.031147843027059995,0.004133795377919468,0.0
45.0,205.0,1.8022367829006115e-46,0,-0.030680444229978336,0.00577591129265246,0.0
45.0,215.0,9.36932790867099e-47,0,-0.030010755834985303,0.0073142713066564205,0.0
45.0,225.0,7.672068083308308e-47,0,-0.029166764575324074,0.008723954633874584,0.0
45.0,235.0,9.450245361225696e-47,0,-0.028181792945857022,0.009988331311070112,0.0
45.0,245.0,1.5445220515438334e-46,0,-0.027091096044949428,0.011098967632129312,0.0
45.0,255.0,3.1158288884751217e-46,0,-0.025928907146085443,0.012054679452053556,0.0
45.0,265.0,7.40092433186973e-46,0,-0.024726282671527468,0.012860088650437272,0.0
45.0,275.0,2.0049962589924077e-45,0,-0.023509832668836515,0.013524020277768506,0.0
45.0,285.0,6.111601206832877e-45,0,-0.022301229795657858,0.01405799074208344,0.0
45.0,295.0,2.0794373602047136e-44,0,-0.021117295085148598,0.014474931706330919,0.0
45.0,305.0,7.838202246990706e-44,0,-0.01997044526955763,0.014788204114366762,0.0
45.0,315.0,3.2497582340988346e-43,0,-0.018869320438512097,0.015010895531831414,0.0
45.0,325.0,1.4719707695255605e-42,0,-0.017819461916443624,0.015155361046540762,0.0
45.0,335.0,7.237368287078178e-42,0,-0.016823959267439202,0.015232956073952097,0.0
45.0,345.0,3.839607000891821e-41,0,-0.01588402375392759,0.015253910335856553,0.0
45.0,355.0,3.2904204729331713e-43,0,-0.014999471847367545,0.015227299471517835,0.0
45.0,365.0,4.122684916913034e-48,0,-0.014169118346483633,0.015161079931402472,0.0
45.0,375.0,4.922322723254986e-53,0,-0.013391087123458866,0.015062161656535745,0.0
45.0,385.0,5.58186604989038e-58,0,-0.012663051108772987,0.014936500535624248,0.0
55.0,5.0,0.0,0,0.0,-0.015408291473653102,0.0
55.0,15.0,0.0,0,-0.017127843822615122,-0.015339269730908541,0.0
55.0,25.0,0.0,0,-0.01810276742925718,-0.015211647050893068,0.0
55.0,35.0,0.0,0,-0.019130217026677707,-0.015015971999586208,0.0
55.0,45.0,0.0,0,-0.020209283611307704,-0.014741686930429675,0.0
55.0,55.0,0.0,0,-0.021337646040074924,-0.014377121876589035,0.0
55.0,65.0,0.0,0,-0.02251109096223536,-0.013909570526723874,0.0
55.0,75.0,0.0,0,-0.023722908543085484,-0.013325499701527575,0.0
55.0,85.0,0.0,0,-0.024963159213597392,-0.01261096144123076,0.0
55.0,95.0,0.0,0,-0.02621783364870644,-0.011752291467893448,0.0
55.0,105.0,0.0,0,-0.02746797690005506,-0.010737179855282804,0.0
55.0,115.0,0.0,0,-0.028688922527581175,-0.009556174064879911,0.0
55.0,125.0,0.0,0,-0.029849879033217088,-0.008204602456252812,0.0
55.0,135.0,0.0,0,-0.030914205216756845,-0.006684774147449784,0.0
55.0,145.0,0.0,0,-0.031840751924490374,-0.005008126017427769,0.0
55.0,155.0,0.0,0,-0.032586560435096015,-0.003196797899528419,0.0
55.0,165.0,0.0,0,-0.0331109273458306,-0.0012840185238213663,0.0
55.0,175.0,0.0,0,-0.0333803808733387,0.0006872087035048446,0.0
55.0,185.0,0.0,0,-0.03337360696685469,0.0026672625829006025,0.0
55.0,195.0,0.0,0,-0.033085077356035685,0.004604496911876289,0.0
55.0,205.0,1.6297364255942658e-42,0,-0.03252630555254171,0.00645035823443971,0.0
55.0,215.0,8.577079417580918e-43,0,-0.03172431156022591,0.008163913959680332,0.0
55.0,225.0,7.613852219738868e-43,0,-0.030717736540758395,0.009714885925114665,0.0
55.0,235.0,1.044625133267566e-42,0,-0.029551700987677176,0.011084793966934776,0.0
55.0,245.0,1.9553641767008883e-42,0,-0.028272669312577558,0.01226636723456296,0.0
55.0,255.0,4.612764783523567e-42,0,-0.02692429140596844,0.01326175149444592,0.0
55.0,265.0,1.3015645705377185e-41,0,-0.02554467844651401,0.014080147269432464,0.0
55.0,275.0,4.2028099939011166e-41,0,-0.024165098717647816,0.014735413318243719,0.0
55.0,285.0,1.5228683162502103e-40,0,-0.02280979330903494,0.015243976831620822,0.0
55.0,295.0,6.145808464377079e-40,0,-0.02149652056942291,0.015623202315895195,0.0
55.0,305.0,2.7425764887051437e-39,0,-0.020237477281063596,0.015890234327401102,0.0
55.0,315.0,1.3437216711680142e-38,0,-0.019040339091392442,0.016061252980281448,0.0
55.0,325.0,7.178788395762028e-38,0,-0.017909261082675564,0.016151052146513425,0.0
55.0,335.0,4.154836032031656e-37,0,-0.01684575724457158,0.016172850123645742,0.0
55.0,345.0,4.1210441856158105e-39,0,-0.01584942976747844,0.016138256137196615,0.0
55.0,355.0,6.313258490016231e-44,0,-0.014918549390820171,0.016057333680649304,0.0
55.0,365.0,9.179429175964442e-49,0,-0.014050502990044764,0.015938718324210392,0.0
